atomic_number,symbol,name,atomic_weight,group,period,block,category
1,H,Hydrogen,1.008,1,1,s,Nonmetal
2,He,Helium,4.0026,18,1,s,Noble gas
3,Li,Lithium,6.94,1,2,s,Alkali metal
4,Be,Beryllium,9.0122,2,2,s,Alkaline earth metal
5,B,Boron,10.81,13,2,p,Metalloid
6,C,Carbon,12.011,14,2,p,Nonmetal
7,N,Nitrogen,14.007,15,2,p,Nonmetal
8,O,Oxygen,15.999,16,2,p,Nonmetal
9,F,Fluorine,18.998,17,2,p,Halogen
10,Ne,Neon,20.180,18,2,p,Noble gas
11,Na,Sodium,22.990,1,3,s,Alkali metal
12,Mg,Magnesium,24.305,2,3,s,Alkaline earth metal
13,Al,Aluminum,26.982,13,3,p,Post-transition metal
14,Si,Silicon,28.085,14,3,p,Metalloid
15,P,Phosphorus,30.974,15,3,p,Nonmetal
16,S,Sulfur,32.06,16,3,p,Nonmetal
17,Cl,Chlorine,35.45,17,3,p,Halogen
18,Ar,Argon,39.948,18,3,p,Noble gas
19,K,Potassium,39.098,1,4,s,Alkali metal
20,Ca,Calcium,40.078,2,4,s,Alkaline earth metal
21,Sc,Scandium,44.956,3,4,d,Transition metal
22,Ti,Titanium,47.867,4,4,d,Transition metal
23,V,Vanadium,50.942,5,4,d,Transition metal
24,Cr,Chromium,51.996,6,4,d,Transition metal
25,Mn,Manganese,54.938,7,4,d,Transition metal
26,Fe,Iron,55.845,8,4,d,Transition metal
27,Co,Cobalt,58.933,9,4,d,Transition metal
28,Ni,Nickel,58.693,10,4,d,Transition metal
29,Cu,Copper,63.546,11,4,d,Transition metal
30,Zn,Zinc,65.38,12,4,d,Transition metal
31,Ga,Gallium,69.723,13,4,p,Post-transition metal
32,Ge,Germanium,72.630,14,4,p,Metalloid
33,As,Arsenic,74.922,15,4,p,Metalloid
34,Se,Selenium,78.971,16,4,p,Nonmetal
35,Br,Bromine,79.904,17,4,p,Halogen
36,Kr,Krypton,83.798,18,4,p,Noble gas
37,Rb,Rubidium,85.468,1,5,s,Alkali metal
38,Sr,Strontium,87.62,2,5,s,Alkaline earth metal
39,Y,Yttrium,88.906,3,5,d,Transition metal
40,Zr,Zirconium,91.224,4,5,d,Transition metal
41,Nb,Niobium,92.906,5,5,d,Transition metal
42,Mo,Molybdenum,95.95,6,5,d,Transition metal
43,Tc,Technetium,98,7,5,d,Transition metal
44,Ru,Ruthenium,101.07,8,5,d,Transition metal
45,Rh,Rhodium,102.91,9,5,d,Transition metal
46,Pd,Palladium,106.42,10,5,d,Transition metal
47,Ag,Silver,107.87,11,5,d,Transition metal
48,Cd,Cadmium,112.41,12,5,d,Transition metal
49,In,Indium,114.82,13,5,p,Post-transition metal
50,Sn,Tin,118.71,14,5,p,Post-transition metal
51,Sb,Antimony,121.76,15,5,p,Metalloid
52,Te,Tellurium,127.60,16,5,p,Metalloid
53,I,Iodine,126.90,17,5,p,Halogen
54,Xe,Xenon,131.29,18,5,p,Noble gas
55,Cs,Cesium,132.91,1,6,s,Alkali metal
56,Ba,Barium,137.33,2,6,s,Alkaline earth metal
57,La,Lanthanum,138.91,3,6,d,Lanthanide
58,Ce,Cerium,140.12,,6,f,Lanthanide
59,Pr,Praseodymium,140.91,,6,f,Lanthanide
60,Nd,Neodymium,144.24,,6,f,Lanthanide
61,Pm,Promethium,145,,6,f,Lanthanide
62,Sm,Samarium,150.36,,6,f,Lanthanide
63,Eu,Europium,151.96,,6,f,Lanthanide
64,Gd,Gadolinium,157.25,,6,f,Lanthanide
65,Tb,Terbium,158.93,,6,f,Lanthanide
66,Dy,Dysprosium,162.50,,6,f,Lanthanide
67,Ho,Holmium,164.93,,6,f,Lanthanide
68,Er,Erbium,167.26,,6,f,Lanthanide
69,Tm,Thulium,168.93,,6,f,Lanthanide
70,Yb,Ytterbium,173.05,,6,f,Lanthanide
71,Lu,Lutetium,174.97,3,6,d,Transition metal
72,Hf,Hafnium,178.49,4,6,d,Transition metal
73,Ta,Tantalum,180.95,5,6,d,Transition metal
74,W,Tungsten,183.84,6,6,d,Transition metal
75,Re,Rhenium,186.21,7,6,d,Transition metal
76,Os,Osmium,190.23,8,6,d,Transition metal
77,Ir,Iridium,192.22,9,6,d,Transition metal
78,Pt,Platinum,195.08,10,6,d,Transition metal
79,Au,Gold,196.97,11,6,d,Transition metal
80,Hg,Mercury,200.59,12,6,d,Transition metal
81,Tl,Thallium,204.38,13,6,p,Post-transition metal
82,Pb,Lead,207.2,14,6,p,Post-transition metal
83,Bi,Bismuth,208.98,15,6,p,Post-transition metal
84,Po,Polonium,209,16,6,p,Metalloid
85,At,Astatine,210,17,6,p,Halogen
86,Rn,Radon,222,18,6,p,Noble gas
87,Fr,Francium,223,1,7,s,Alkali metal
88,Ra,Radium,226,2,7,s,Alkaline earth metal
89,Ac,Actinium,227,3,7,d,Actinide
90,Th,Thorium,232.04,,7,f,Actinide
91,Pa,Protactinium,231.04,,7,f,Actinide
92,U,Uranium,238.03,,7,f,Actinide
93,Np,Neptunium,237,,7,f,Actinide
94,Pu,Plutonium,244,,7,f,Actinide
95,Am,Americium,243,,7,f,Actinide
96,Cm,Curium,247,,7,f,Actinide
97,Bk,Berkelium,247,,7,f,Actinide
98,Cf,Californium,251,,7,f,Actinide
99,Es,Einsteinium,252,,7,f,Actinide
100,Fm,Fermium,257,,7,f,Actinide
101,Md,Mendelevium,258,,7,f,Actinide
102,No,Nobelium,259,,7,f,Actinide
103,Lr,Lawrencium,266,3,7,d,Transition metal
104,Rf,Rutherfordium,267,4,7,d,Transition metal
105,Db,Dubnium,270,5,7,d,Transition metal
106,Sg,Seaborgium,271,6,7,d,Transition metal
107,Bh,Bohrium,270,7,7,d,Transition metal
108,Hs,Hassium,277,8,7,d,Transition metal
109,Mt,Meitnerium,278,9,7,d,Transition metal
110,Ds,Darmstadtium,281,10,7,d,Transition metal
111,Rg,Roentgenium,282,11,7,d,Transition metal
112,Cn,Copernicium,285,12,7,d,Transition metal
113,Nh,Nihonium,286,13,7,p,Post-transition metal
114,Fl,Flerovium,289,14,7,p,Post-transition metal
115,Mc,Moscovium,290,15,7,p,Post-transition metal
116,Lv,Livermorium,293,16,7,p,Post-transition metal
117,Ts,Tennessine,294,17,7,p,Halogen
118,Og,Oganesson,294,18,7,p,Noble gas